4.000,production,moveToBeacon
4.000,perception.chunk,13
4.050,production,None
4.050,production,moveToBeacon
4.050,perception.chunk,13
4.050,motor,Finished
4.100,production,None
4.100,motor,Pressing
4.100,production,moveToBeacon
4.100,perception.chunk,13
4.150,production,None
4.150,production,moveToBeacon
4.150,perception.chunk,13
4.200,production,None
4.200,production,moveToBeacon
4.200,perception.chunk,60
4.250,production,None
4.250,production,moveToBeacon
4.250,perception.chunk,60
4.300,production,None
4.300,production,moveToBeacon
4.300,perception.chunk,60
4.350,production,None
4.350,production,moveToBeacon
4.350,perception.chunk,60
4.350,motor,Pressing
4.400,production,None
4.400,production,moveToBeacon
4.400,perception.chunk,60
4.400,motor,Pressing
4.450,production,None
4.450,production,moveToBeacon
4.450,perception.chunk,60
4.500,production,None
4.500,production,moveToBeacon
4.500,perception.chunk,60
4.500,motor,Actually
4.500,motor,Finishing
4.550,production,None
4.550,production,moveToBeacon
4.550,perception.chunk,60
4.600,production,None
4.600,production,moveToBeacon
4.600,perception.chunk,60
4.650,production,None
4.650,production,moveToBeacon
4.650,perception.chunk,60
4.650,motor,Finished
4.700,production,None
4.700,motor,Pressing
4.700,production,moveToBeacon
4.700,perception.chunk,60
4.750,production,None
4.750,production,moveToBeacon
4.750,perception.chunk,60
4.800,production,None
4.800,production,moveToBeacon
4.800,perception.chunk,60
4.850,production,None
4.850,production,moveToBeacon
4.850,perception.chunk,60
4.900,production,None
4.900,production,moveToBeacon
4.900,perception.chunk,60
4.950,production,None
4.950,production,moveToBeacon
4.950,perception.chunk,60
4.950,motor,Pressing
5.000,production,None
5.000,production,moveToBeacon
5.000,perception.chunk,60
5.000,motor,Pressing
5.050,production,None
5.050,production,moveToBeacon
5.050,perception.chunk,60
5.050,perception.chunk,52
5.100,production,None
5.100,production,moveToBeacon
